Timestamp,MemUsed,SwapUsed
02:12:07,576,0
02:12:08,1446,0
02:12:09,2116,0
02:12:10,2310,0
02:12:11,3169,0
02:12:12,3178,0
02:12:13,4031,0
02:12:14,4072,0
02:12:15,4449,0
02:12:16,4673,0
02:12:17,4890,0
02:12:21,4896,0
02:12:22,5571,50
02:12:23,5600,134
02:12:24,5708,805
02:12:25,5728,937
02:12:26,5689,1881
02:12:27,5797,1881
02:12:28,455,11
02:12:29,456,11
